Source,Target
囟门下陷,饮水
囟门下陷,尿频
囟门下陷,发热
腹泻,消瘦
腹泻,目凹陷
腹泻,饮水
腹泻,尿频
指纹暗,消瘦
指纹暗,目凹陷
指纹暗,饮水
指纹暗,尿频
消瘦,目凹陷
消瘦,指纹紫
消瘦,饮水
目凹陷,口渴
目凹陷,指纹紫
目凹陷,饮水
目凹陷,尿频
目凹陷,发热
口渴,饮水
指纹紫,饮水
指纹紫,尿频
饮水,尿频
饮水,发热
胸高,呼吸困难
胸高,囟门凸起
胸高,囟门皮肤红
胸高,自汗
胸高,汗出
胸高,指纹暗
胸高,唇色红
胸高,口渴
胸高,头痛
胸高,指纹紫
胸高,尿黄
胸高,面赤
胸高,发枯
胸高,尿短
胸高,发热
呼吸困难,囟门凸起
呼吸困难,囟门皮肤红
呼吸困难,自汗
呼吸困难,汗出
呼吸困难,指纹暗
呼吸困难,头痛
呼吸困难,发枯
囟门凸起,囟门皮肤红
囟门凸起,自汗
囟门凸起,汗出
囟门凸起,指纹暗
囟门凸起,唇色红
囟门凸起,口渴
囟门凸起,头痛
囟门凸起,指纹紫
囟门凸起,尿黄
囟门凸起,面赤
囟门凸起,发枯
囟门凸起,尿短
囟门凸起,发热
囟门皮肤红,自汗
囟门皮肤红,汗出
囟门皮肤红,指纹暗
囟门皮肤红,唇色红
囟门皮肤红,口渴
囟门皮肤红,头痛
囟门皮肤红,指纹紫
囟门皮肤红,尿黄
囟门皮肤红,面赤
囟门皮肤红,发枯
囟门皮肤红,尿短
囟门皮肤红,发热
自汗,指纹暗
自汗,唇色红
自汗,指纹紫
自汗,尿黄
自汗,面赤
自汗,发枯
自汗,尿短
汗出,指纹暗
汗出,指纹紫
汗出,发枯
指纹暗,头痛
指纹暗,发枯
指纹暗,尿短
唇色红,头痛
唇色红,发枯
口渴,发枯
头痛,指纹紫
头痛,发枯
头痛,尿短
指纹紫,发枯
尿黄,发枯
面赤,发枯
发枯,尿短
发枯,发热
囟门凸起,足冷
囟门凸起,囟门皮肤白
囟门凸起,头大
囟门凸起,手冷
囟门凸起,指纹青
囟门凸起,头缝裂开
囟门凸起,抽搐
囟门凸起,手脚抽搐
囟门凸起,面白
足冷,囟门皮肤白
足冷,头大
足冷,指纹青
足冷,头缝裂开
足冷,手脚抽搐
囟门皮肤白,头大
囟门皮肤白,手冷
囟门皮肤白,指纹青
囟门皮肤白,头缝裂开
囟门皮肤白,抽搐
囟门皮肤白,手脚抽搐
囟门皮肤白,面白
头大,手冷
头大,指纹青
头大,头缝裂开
头大,抽搐
头大,手脚抽搐
头大,面白
手冷,指纹青
手冷,头缝裂开
手冷,手脚抽搐
指纹青,头缝裂开
指纹青,抽搐
指纹青,手脚抽搐
指纹青,面白
头缝裂开,抽搐
头缝裂开,手脚抽搐
头缝裂开,面白
手脚抽搐,面白
指纹暗,神情呆滞
指纹暗,囟门不合
指纹暗,颅缝裂开
指纹暗,手足发热
指纹暗,前囟宽大
指纹暗,精神恍惚
指纹暗,目下垂
指纹暗,头倾
指纹暗,白睛显露
指纹暗,颈细
指纹暗,项软
指纹暗,面白
神情呆滞,囟门不合
神情呆滞,颅缝裂开
神情呆滞,手足发热
神情呆滞,前囟宽大
神情呆滞,目下垂
神情呆滞,头倾
神情呆滞,消瘦
神情呆滞,白睛显露
神情呆滞,指纹紫
神情呆滞,颈细
神情呆滞,项软
指纹淡,口渴
指纹淡,烦躁
指纹淡,发热
指纹淡,囟门不合
指纹淡,颅缝裂开
指纹淡,情绪不稳
指纹淡,手足发热
指纹淡,前囟宽大
指纹淡,精神恍惚
指纹淡,目下垂
指纹淡,头倾
指纹淡,消瘦
指纹淡,白睛显露
指纹淡,指纹紫
指纹淡,颈细
指纹淡,项软
口渴,囟门不合
口渴,颅缝裂开
口渴,前囟宽大
口渴,精神恍惚
口渴,目下垂
口渴,头倾
口渴,白睛显露
口渴,颈细
口渴,项软
烦躁,囟门不合
烦躁,颅缝裂开
烦躁,前囟宽大
烦躁,目下垂
烦躁,头倾
烦躁,白睛显露
烦躁,颈细
烦躁,项软
发热,囟门不合
发热,颅缝裂开
发热,前囟宽大
发热,精神恍惚
发热,目下垂
发热,头倾
发热,白睛显露
发热,颈细
发热,项软
发热,面白
囟门不合,颅缝裂开
囟门不合,情绪不稳
囟门不合,手足发热
囟门不合,前囟宽大
囟门不合,精神恍惚
囟门不合,目下垂
囟门不合,头倾
囟门不合,消瘦
囟门不合,白睛显露
囟门不合,指纹紫
囟门不合,颈细
囟门不合,项软
囟门不合,面白
颅缝裂开,情绪不稳
颅缝裂开,手足发热
颅缝裂开,前囟宽大
颅缝裂开,精神恍惚
颅缝裂开,目下垂
颅缝裂开,头倾
颅缝裂开,消瘦
颅缝裂开,白睛显露
颅缝裂开,指纹紫
颅缝裂开,颈细
颅缝裂开,项软
颅缝裂开,面白
情绪不稳,前囟宽大
情绪不稳,目下垂
情绪不稳,头倾
情绪不稳,白睛显露
情绪不稳,颈细
情绪不稳,项软
手足发热,前囟宽大
手足发热,精神恍惚
手足发热,目下垂
手足发热,头倾
手足发热,白睛显露
手足发热,指纹紫
手足发热,颈细
手足发热,项软
手足发热,面白
前囟宽大,精神恍惚
前囟宽大,目下垂
前囟宽大,头倾
前囟宽大,消瘦
前囟宽大,白睛显露
前囟宽大,指纹紫
前囟宽大,颈细
前囟宽大,项软
前囟宽大,面白
精神恍惚,目下垂
精神恍惚,头倾
精神恍惚,消瘦
精神恍惚,白睛显露
精神恍惚,指纹紫
精神恍惚,颈细
精神恍惚,项软
精神恍惚,面白
目下垂,头倾
目下垂,消瘦
目下垂,白睛显露
目下垂,指纹紫
目下垂,颈细
目下垂,项软
目下垂,面白
头倾,消瘦
头倾,白睛显露
头倾,指纹紫
头倾,颈细
头倾,项软
头倾,面白
消瘦,白睛显露
消瘦,颈细
消瘦,项软
白睛显露,指纹紫
白睛显露,颈细
白睛显露,项软
白睛显露,面白
指纹紫,颈细
指纹紫,项软
指纹紫,面白
颈细,项软
颈细,面白
项软,面白
汗出,肌肉松弛
汗出,夜盲
汗出,方颅
汗出,消瘦
汗出,指纹淡
汗出,囟门不合
汗出,前囟宽大
汗出,颅缝裂开
汗出,言语迟钝
肌肉松弛,夜盲
肌肉松弛,方颅
肌肉松弛,消瘦
肌肉松弛,指纹淡
肌肉松弛,发枯
肌肉松弛,囟门不合
肌肉松弛,面黄
肌肉松弛,盗汗
肌肉松弛,前囟宽大
肌肉松弛,颅缝裂开
肌肉松弛,言语迟钝
夜盲,方颅
夜盲,消瘦
夜盲,指纹淡
夜盲,乏力
夜盲,发枯
夜盲,囟门不合
夜盲,纳差
夜盲,面黄
夜盲,盗汗
夜盲,前囟宽大
夜盲,颅缝裂开
夜盲,言语迟钝
方颅,消瘦
方颅,指纹淡
方颅,乏力
方颅,发枯
方颅,囟门不合
方颅,纳差
方颅,面黄
方颅,盗汗
方颅,前囟宽大
方颅,颅缝裂开
方颅,言语迟钝
消瘦,发枯
消瘦,盗汗
消瘦,言语迟钝
指纹淡,发枯
指纹淡,盗汗
指纹淡,言语迟钝
乏力,发枯
乏力,囟门不合
乏力,盗汗
乏力,前囟宽大
乏力,颅缝裂开
乏力,言语迟钝
发枯,囟门不合
发枯,纳差
发枯,面黄
发枯,盗汗
发枯,前囟宽大
发枯,颅缝裂开
发枯,言语迟钝
囟门不合,纳差
囟门不合,面黄
囟门不合,盗汗
囟门不合,言语迟钝
纳差,前囟宽大
纳差,颅缝裂开
纳差,言语迟钝
面黄,盗汗
面黄,前囟宽大
面黄,颅缝裂开
面黄,言语迟钝
盗汗,前囟宽大
盗汗,颅缝裂开
盗汗,言语迟钝
前囟宽大,言语迟钝
颅缝裂开,言语迟钝
情绪不稳,急惊
情绪不稳,流鼻涕
情绪不稳,无汗
情绪不稳,咽红
急惊,咳嗽
急惊,烦躁
急惊,流鼻涕
急惊,无汗
急惊,头痛
急惊,发热
急惊,咽红
急惊,抽搐
咳嗽,咽红
烦躁,流鼻涕
烦躁,无汗
烦躁,咽红
流鼻涕,咽红
流鼻涕,抽搐
无汗,咽红
头痛,咽红
发热,咽红
咽红,抽搐
皮疹,口眼歪斜
皮疹,痫
皮疹,面部抽搐
皮疹,口唇发绀
皮疹,口流清涎
口眼歪斜,痫
口眼歪斜,面部抽搐
口眼歪斜,头晕
口眼歪斜,头痛
口眼歪斜,皮肤斑块
口眼歪斜,口唇发绀
口眼歪斜,抽搐
口眼歪斜,口流清涎
口眼歪斜,面黑
痫,面部抽搐
痫,头痛
痫,皮肤斑块
痫,口唇发绀
痫,面黑
面部抽搐,头晕
面部抽搐,头痛
面部抽搐,皮肤斑块
面部抽搐,口唇发绀
面部抽搐,抽搐
面部抽搐,口流清涎
面部抽搐,面黑
头晕,口唇发绀
头晕,面黑
头痛,皮肤斑块
头痛,口唇发绀
头痛,面黑
皮肤斑块,口唇发绀
皮肤斑块,口流清涎
皮肤斑块,面黑
口唇发绀,抽搐
口唇发绀,口流清涎
口唇发绀,面黑
抽搐,面黑
口流清涎,面黑
项背僵直,急惊
项背僵直,汗出
项背僵直,自汗
项背僵直,口渴
项背僵直,呕吐
急惊,汗出
急惊,自汗
急惊,昏迷
急惊,口渴
急惊,呕吐
急惊,意识障碍
汗出,抽搐
自汗,昏迷
自汗,呕吐
自汗,抽搐
自汗,意识障碍
头痛,呕吐
呕吐,抽搐
情绪不稳,口噤
急惊,气粗
急惊,口噤
急惊,面赤
急惊,便秘
气粗,发热
口噤,烦躁
口噤,口渴
喉中有痰,腹痛
喉中有痰,急惊
喉中有痰,面青
喉中有痰,腹胀
喉中有痰,神情呆滞
喉中有痰,呕吐
喉中有痰,纳差
喉中有痰,面黄
喉中有痰,抽搐
喉中有痰,大便臭
腹痛,急惊
腹痛,神情呆滞
急惊,面青
急惊,腹胀
急惊,神情呆滞
急惊,纳差
急惊,面黄
急惊,大便臭
面青,纳差
面青,便秘
面青,面黄
面青,大便臭
腹胀,抽搐
神情呆滞,便秘
神情呆滞,面黄
神情呆滞,抽搐
神情呆滞,大便臭
呕吐,面黄
便秘,大便臭
面黄,抽搐
面黄,大便臭
抽搐,大便臭
急惊,足冷
急惊,不寐
急惊,易惊
急惊,手冷
急惊,指纹青
急惊,昏睡
足冷,易惊
足冷,意识障碍
足冷,昏睡
不寐,面青
不寐,指纹青
不寐,昏睡
面青,易惊
面青,指纹青
易惊,手冷
易惊,指纹青
易惊,抽搐
易惊,昏睡
手冷,意识障碍
手冷,昏睡
指纹青,意识障碍
指纹青,昏睡
抽搐,昏睡
手足发热,唇干
手足发热,抽搦无力
手足发热,颤抖
手足发热,手足颤动
手足发热,抽搐
唇干,不寐
唇干,消瘦
唇干,抽搦无力
唇干,颤抖
唇干,手足颤动
唇干,抽搐
不寐,抽搦无力
不寐,手足颤动
消瘦,抽搦无力
消瘦,颤抖
消瘦,手足颤动
消瘦,抽搐
抽搦无力,面赤
抽搦无力,颤抖
抽搦无力,发热
抽搦无力,手足颤动
抽搦无力,抽搐
面赤,颤抖
面赤,手足颤动
颤抖,手足颤动
颤抖,抽搐
发热,手足颤动
手足颤动,抽搐
目上翻,足冷
目上翻,便溏
目上翻,手冷
目上翻,露睛
目上翻,面黄
目上翻,抽搐
目上翻,意识障碍
目上翻,昏睡
目上翻,嗜睡
足冷,面黄
足冷,嗜睡
便溏,露睛
便溏,昏睡
手冷,面黄
手冷,嗜睡
露睛,面黄
露睛,抽搐
露睛,意识障碍
露睛,昏睡
露睛,嗜睡
面黄,意识障碍
面黄,昏睡
面黄,嗜睡
抽搐,嗜睡
昏睡,嗜睡
呼吸微弱,囟门下陷
呼吸微弱,汗出
呼吸微弱,乏力
呼吸微弱,手足蠕动
呼吸微弱,面暗
呼吸微弱,便溏
呼吸微弱,意识障碍
呼吸微弱,昏睡
囟门下陷,汗出
囟门下陷,手足蠕动
囟门下陷,面暗
囟门下陷,意识障碍
囟门下陷,昏睡
汗出,手足蠕动
汗出,昏睡
肢冷,手足蠕动
肢冷,昏睡
乏力,昏睡
手足蠕动,面暗
手足蠕动,面黄
手足蠕动,便溏
手足蠕动,昏睡
面暗,意识障碍
面暗,昏睡
声音不扬,指纹暗
声音不扬,面青
声音不扬,腹冷
声音不扬,指纹红
声音不扬,啼哭
声音不扬,喜伏卧
声音不扬,夜啼
声音不扬,手冷
声音不扬,曲腰而啼
声音不扬,纳差
声音不扬,哭声时高时低
声音不扬,便溏
声音不扬,啼叫
指纹暗,面青
指纹暗,腹冷
指纹暗,指纹红
指纹暗,喜伏卧
指纹暗,夜啼
指纹暗,手冷
指纹暗,曲腰而啼
指纹暗,哭声时高时低
指纹暗,啼叫
面青,腹冷
面青,指纹红
面青,喜伏卧
面青,夜啼
面青,曲腰而啼
面青,哭声时高时低
面青,便溏
面青,啼叫
腹冷,指纹红
腹冷,啼哭
腹冷,喜伏卧
腹冷,夜啼
腹冷,手冷
腹冷,曲腰而啼
腹冷,纳差
腹冷,哭声时高时低
腹冷,便溏
腹冷,啼叫
指纹红,喜伏卧
指纹红,夜啼
指纹红,手冷
指纹红,曲腰而啼
指纹红,纳差
指纹红,哭声时高时低
指纹红,便溏
指纹红,啼叫
啼哭,喜伏卧
啼哭,夜啼
啼哭,曲腰而啼
啼哭,纳差
啼哭,哭声时高时低
啼哭,便溏
啼哭,啼叫
喜伏卧,夜啼
喜伏卧,手冷
喜伏卧,曲腰而啼
喜伏卧,纳差
喜伏卧,哭声时高时低
喜伏卧,便溏
喜伏卧,啼叫
夜啼,手冷
夜啼,曲腰而啼
夜啼,纳差
夜啼,哭声时高时低
夜啼,便溏
夜啼,啼叫
手冷,曲腰而啼
手冷,哭声时高时低
手冷,啼叫
曲腰而啼,纳差
曲腰而啼,哭声时高时低
曲腰而啼,便溏
曲腰而啼,啼叫
纳差,哭声时高时低
纳差,啼叫
哭声时高时低,便溏
哭声时高时低,啼叫
便溏,啼叫
情绪不稳,哭声洪亮
情绪不稳,夜啼
情绪不稳,喜仰卧
便秘,哭声洪亮
便秘,夜啼
便秘,指纹紫
便秘,喜仰卧
便秘,啼哭
哭声洪亮,唇色红
哭声洪亮,烦躁
哭声洪亮,夜啼
哭声洪亮,指纹紫
哭声洪亮,尿黄
哭声洪亮,面赤
哭声洪亮,尿短
哭声洪亮,喜仰卧
哭声洪亮,啼哭
唇色红,夜啼
唇色红,喜仰卧
烦躁,夜啼
烦躁,喜仰卧
夜啼,指纹紫
夜啼,尿黄
夜啼,面赤
夜啼,尿短
夜啼,喜仰卧
指纹紫,喜仰卧
尿黄,喜仰卧
尿黄,啼哭
面赤,喜仰卧
面赤,啼哭
尿短,喜仰卧
尿短,啼哭
喜仰卧,啼哭
情绪不稳,指纹红
情绪不稳,哭声低微
指纹红,易惊
指纹红,消瘦
指纹红,烦躁
指纹红,哭声低微
易惊,夜啼
易惊,啼哭
易惊,哭声低微
消瘦,夜啼
消瘦,啼哭
烦躁,哭声低微
夜啼,发热
夜啼,哭声低微
发热,哭声低微
啼哭,哭声低微
不寐,唇甲淡白
唇甲淡白,痫
唇甲淡白,昏迷
唇甲淡白,呼吸急促
唇甲淡白,目干
唇甲淡白,头晕
唇甲淡白,健忘
唇甲淡白,口流清涎
唇甲淡白,心悸
唇甲淡白,意识障碍
痫,呼吸急促
痫,目干
痫,健忘
痫,心悸
昏迷,目干
昏迷,健忘
呼吸急促,目干
目干,健忘
目干,口流清涎
目干,心悸
目干,意识障碍
头晕,健忘
健忘,口流清涎
健忘,意识障碍
不寐,夜啼
不寐,大便色青绿
不寐,面乍青乍白
不寐,口唇发绀
不寐,泪多
不寐,啼叫
易惊,大便色青绿
易惊,面乍青乍白
易惊,口唇发绀
易惊,泪多
易惊,指纹紫
易惊,口流清涎
啼哭,大便色青绿
啼哭,面乍青乍白
啼哭,口唇发绀
啼哭,泪多
啼哭,口流清涎
夜啼,大便色青绿
夜啼,面乍青乍白
夜啼,口唇发绀
夜啼,泪多
夜啼,口流清涎
大便色青绿,面乍青乍白
大便色青绿,口唇发绀
大便色青绿,泪多
大便色青绿,指纹紫
大便色青绿,口流清涎
大便色青绿,啼叫
面乍青乍白,口唇发绀
面乍青乍白,泪多
面乍青乍白,指纹紫
面乍青乍白,口流清涎
面乍青乍白,啼叫
口唇发绀,泪多
口唇发绀,指纹紫
口唇发绀,啼叫
泪多,指纹紫
泪多,口流清涎
泪多,啼叫
指纹紫,口流清涎
指纹紫,啼叫
口流清涎,啼叫
腹泻,哭声洪亮
腹泻,腹部拒按
腹泻,啼哭
腹泻,时哭时止
腹痛,哭声洪亮
腹痛,时哭时止
指纹暗,哭声洪亮
指纹暗,腹部拒按
指纹暗,便秘
指纹暗,时哭时止
哭声洪亮,不食
哭声洪亮,腹部拒按
哭声洪亮,呕吐
哭声洪亮,时哭时止
不食,腹部拒按
不食,便秘
不食,时哭时止
腹部拒按,指纹紫
腹部拒按,呕吐
腹部拒按,便秘
腹部拒按,啼哭
腹部拒按,时哭时止
指纹紫,时哭时止
呕吐,啼哭
呕吐,时哭时止
便秘,时哭时止
啼哭,时哭时止
指纹暗,多饮
指纹暗,黄疸
指纹暗,心中懊𢙐
指纹暗,大便色灰
指纹暗,厌油
指纹暗,恶心
指纹暗,目黄
不食,口渴
不食,多饮
不食,黄疸
不食,心中懊𢙐
不食,大便色灰
不食,尿黄
不食,厌油
不食,恶心
不食,目黄
不食,尿短
口渴,多饮
口渴,黄疸
口渴,心中懊𢙐
口渴,大便色灰
口渴,厌油
口渴,目黄
多饮,黄疸
多饮,乏力
多饮,心中懊𢙐
多饮,大便色灰
多饮,尿黄
多饮,发热
多饮,便秘
多饮,厌油
多饮,汗出
多饮,恶心
多饮,目黄
多饮,指纹紫
多饮,呕吐
多饮,尿短
多饮,纳差
多饮,腹胀
黄疸,乏力
黄疸,心中懊𢙐
黄疸,大便色灰
黄疸,便秘
黄疸,厌油
黄疸,汗出
黄疸,目黄
黄疸,指纹紫
黄疸,呕吐
黄疸,尿短
黄疸,腹胀
乏力,大便色灰
乏力,厌油
乏力,目黄
乏力,指纹紫
心中懊𢙐,大便色灰
心中懊𢙐,尿黄
心中懊𢙐,发热
心中懊𢙐,便秘
心中懊𢙐,厌油
心中懊𢙐,汗出
心中懊𢙐,恶心
心中懊𢙐,目黄
心中懊𢙐,指纹紫
心中懊𢙐,呕吐
心中懊𢙐,尿短
心中懊𢙐,纳差
心中懊𢙐,腹胀
大便色灰,尿黄
大便色灰,发热
大便色灰,便秘
大便色灰,厌油
大便色灰,汗出
大便色灰,恶心
大便色灰,目黄
大便色灰,指纹紫
大便色灰,呕吐
大便色灰,尿短
大便色灰,纳差
大便色灰,腹胀
尿黄,厌油
尿黄,目黄
尿黄,呕吐
发热,厌油
发热,目黄
便秘,厌油
便秘,目黄
厌油,汗出
厌油,恶心
厌油,目黄
厌油,指纹紫
厌油,呕吐
厌油,尿短
厌油,纳差
厌油,腹胀
汗出,目黄
恶心,目黄
恶心,指纹紫
目黄,指纹紫
目黄,呕吐
目黄,尿短
目黄,纳差
目黄,腹胀
指纹紫,纳差
呕吐,尿短
不食,尿不利
不食,形寒
不食,嗜睡
不食,嗜卧
不食,大便色白
不食,意识障碍
不食,脘痞
肢冷,黄疸
肢冷,尿不利
肢冷,大便色灰
肢冷,嗜卧
肢冷,大便色白
肢冷,尿黄
肢冷,目黄
肢冷,指纹红
肢冷,尿短
黄疸,尿不利
黄疸,形寒
黄疸,嗜睡
黄疸,嗜卧
黄疸,大便色白
黄疸,意识障碍
黄疸,脘痞
黄疸,指纹红
乏力,大便色白
乏力,指纹红
尿不利,便溏
尿不利,形寒
尿不利,大便色灰
尿不利,嗜睡
尿不利,嗜卧
尿不利,大便色白
尿不利,目黄
尿不利,指纹红
尿不利,纳差
便溏,大便色灰
便溏,大便色白
便溏,目黄
形寒,大便色灰
形寒,嗜睡
形寒,嗜卧
形寒,大便色白
形寒,尿黄
形寒,意识障碍
形寒,目黄
形寒,脘痞
形寒,指纹红
形寒,尿短
大便色灰,嗜睡
大便色灰,嗜卧
大便色灰,大便色白
大便色灰,意识障碍
大便色灰,脘痞
大便色灰,指纹红
嗜睡,嗜卧
嗜睡,大便色白
嗜睡,尿黄
嗜睡,目黄
嗜睡,指纹红
嗜睡,尿短
嗜卧,大便色白
嗜卧,尿黄
嗜卧,意识障碍
嗜卧,目黄
嗜卧,指纹红
嗜卧,尿短
大便色白,尿黄
大便色白,意识障碍
大便色白,目黄
大便色白,脘痞
大便色白,指纹红
大便色白,尿短
大便色白,纳差
大便色白,腹胀
尿黄,指纹红
意识障碍,目黄
意识障碍,指纹红
目黄,脘痞
目黄,指纹红
脘痞,指纹红
指纹红,尿短
项背僵直,指纹红
项背僵直,咳嗽
项背僵直,流鼻涕
项背僵直,指纹浮
项背僵直,尿清
项背僵直,鼻塞
指纹红,指纹浮
指纹红,无汗
指纹红,头痛
指纹红,肢体痛
指纹红,面白
咳嗽,指纹浮
咳嗽,面白
流鼻涕,指纹浮
流鼻涕,肢体痛
流鼻涕,面白
指纹浮,尿清
指纹浮,无汗
指纹浮,头痛
指纹浮,恶寒
指纹浮,发热
指纹浮,肢体痛
指纹浮,鼻塞
指纹浮,面白
尿清,无汗
尿清,头痛
无汗,面白
肢体痛,鼻塞
鼻塞,面白
气粗,汗出
气粗,自汗
气粗,咽痛
气粗,流鼻涕
气粗,指纹浮
气粗,头痛
气粗,指纹紫
气粗,尿黄
气粗,恶寒
气粗,鼻塞
气粗,鼻热
汗出,流鼻涕
汗出,指纹浮
汗出,鼻塞
汗出,鼻热
自汗,咽痛
自汗,咳嗽
自汗,咳痰
自汗,流鼻涕
自汗,指纹浮
自汗,鼻塞
自汗,鼻热
咽痛,指纹浮
咽痛,指纹紫
咽痛,鼻塞
咽痛,鼻热
咳嗽,指纹紫
咳嗽,鼻热
咳痰,指纹浮
咳痰,指纹紫
咳痰,鼻热
流鼻涕,口渴
流鼻涕,指纹紫
流鼻涕,尿黄
流鼻涕,鼻热
口渴,指纹浮
口渴,鼻塞
口渴,鼻热
指纹浮,指纹紫
指纹浮,尿黄
指纹浮,鼻热
头痛,鼻热
指纹紫,恶寒
指纹紫,鼻塞
指纹紫,鼻热
尿黄,鼻塞
尿黄,鼻热
恶寒,鼻热
发热,鼻热
鼻塞,鼻热
项背僵直,伤暑
项背僵直,肢冷
项背僵直,多饮
项背僵直,乏力
项背僵直,四肢痛
项背僵直,嗜睡
项背僵直,头昏沉
项背僵直,不喜饮
项背僵直,拘挛
项背僵直,中暑
项背僵直,指纹达气关
项背僵直,指纹紫
伤暑,口渴
伤暑,肢冷
伤暑,多饮
伤暑,无汗
伤暑,乏力
伤暑,四肢痛
伤暑,嗜睡
伤暑,头昏沉
伤暑,不喜饮
伤暑,指纹浮
伤暑,头痛
伤暑,发热
伤暑,意识障碍
伤暑,汗出
伤暑,拘挛
伤暑,抽搐
伤暑,中暑
伤暑,指纹红
伤暑,昏迷
伤暑,指纹达气关
伤暑,指纹紫
伤暑,恶寒
伤暑,肢体痛
口渴,肢冷
口渴,无汗
口渴,四肢痛
口渴,嗜睡
口渴,头昏沉
口渴,拘挛
口渴,中暑
口渴,指纹红
口渴,指纹达气关
肢冷,多饮
肢冷,无汗
肢冷,四肢痛
肢冷,头昏沉
肢冷,不喜饮
肢冷,指纹浮
肢冷,头痛
肢冷,发热
肢冷,拘挛
肢冷,抽搐
肢冷,中暑
肢冷,指纹达气关
肢冷,指纹紫
多饮,无汗
多饮,四肢痛
多饮,嗜睡
多饮,头昏沉
多饮,不喜饮
多饮,指纹浮
多饮,头痛
多饮,意识障碍
多饮,拘挛
多饮,抽搐
多饮,中暑
多饮,指纹红
多饮,昏迷
多饮,指纹达气关
多饮,恶寒
多饮,肢体痛
无汗,乏力
无汗,四肢痛
无汗,嗜睡
无汗,头昏沉
无汗,不喜饮
无汗,意识障碍
无汗,汗出
无汗,拘挛
无汗,中暑
无汗,昏迷
无汗,指纹达气关
无汗,指纹紫
乏力,指纹浮
乏力,拘挛
乏力,中暑
乏力,指纹达气关
四肢痛,嗜睡
四肢痛,头昏沉
四肢痛,不喜饮
四肢痛,指纹浮
四肢痛,头痛
四肢痛,发热
四肢痛,意识障碍
四肢痛,汗出
四肢痛,拘挛
四肢痛,中暑
四肢痛,指纹红
四肢痛,昏迷
四肢痛,指纹达气关
四肢痛,指纹紫
嗜睡,头昏沉
嗜睡,不喜饮
嗜睡,指纹浮
嗜睡,头痛
嗜睡,发热
嗜睡,汗出
嗜睡,拘挛
嗜睡,中暑
嗜睡,昏迷
嗜睡,指纹达气关
嗜睡,指纹紫
嗜睡,肢体痛
头昏沉,不喜饮
头昏沉,指纹浮
头昏沉,发热
头昏沉,汗出
头昏沉,拘挛
头昏沉,中暑
头昏沉,指纹红
头昏沉,指纹达气关
头昏沉,指纹紫
头昏沉,恶寒
头昏沉,肢体痛
不喜饮,指纹浮
不喜饮,头痛
不喜饮,意识障碍
不喜饮,拘挛
不喜饮,抽搐
不喜饮,中暑
不喜饮,昏迷
不喜饮,指纹达气关
指纹浮,意识障碍
指纹浮,拘挛
指纹浮,抽搐
指纹浮,中暑
指纹浮,昏迷
指纹浮,指纹达气关
头痛,拘挛
头痛,中暑
头痛,指纹达气关
发热,拘挛
发热,中暑
发热,指纹达气关
意识障碍,拘挛
意识障碍,中暑
意识障碍,指纹达气关
意识障碍,指纹紫
汗出,拘挛
汗出,中暑
汗出,指纹达气关
拘挛,抽搐
拘挛,中暑
拘挛,指纹红
拘挛,昏迷
拘挛,指纹达气关
拘挛,指纹紫
抽搐,中暑
抽搐,指纹红
抽搐,指纹达气关
抽搐,指纹紫
中暑,指纹红
中暑,昏迷
中暑,指纹达气关
中暑,指纹紫
中暑,恶寒
中暑,肢体痛
指纹红,昏迷
指纹红,指纹达气关
指纹红,指纹紫
昏迷,指纹达气关
昏迷,指纹紫
指纹达气关,指纹紫
指纹达气关,恶寒
指纹达气关,肢体痛
指纹紫,肢体痛
汗出,手舞足蹈
汗出,饮冷
指纹暗,手舞足蹈
指纹暗,饮冷
口渴,手舞足蹈
手舞足蹈,指纹紫
手舞足蹈,发热
手舞足蹈,饮冷
指纹紫,饮冷
手足多汗,腹痛
手足多汗,汗出
手足多汗,指纹暗
手足多汗,指纹紫
手足多汗,发热
手足多汗,便秘
手足多汗,腹胀
不喜饮,皮疹
不喜饮,指纹暗
不喜饮,谵语
不寐,指纹暗
皮疹,指纹暗
皮疹,指纹紫
指纹暗,谵语
谵语,指纹紫
大便失禁,痫
大便失禁,面暗
大便失禁,阳痿
大便失禁,智力低下
大便失禁,腰酸
大便失禁,尿失禁
大便失禁,白带量多
大便失禁,口流清涎
大便失禁,视物模糊
大便失禁,意识障碍
大便失禁,不寐
大便失禁,早泄
大便失禁,视力受损
大便失禁,健忘
大便失禁,遗精
大便失禁,抽搐
大便失禁,昏迷
大便失禁,头晕
痫,面暗
痫,阳痿
痫,智力低下
痫,腰酸
痫,尿失禁
痫,白带量多
痫,视物模糊
痫,早泄
痫,视力受损
痫,遗精
面暗,阳痿
面暗,智力低下
面暗,白带量多
面暗,口流清涎
面暗,视物模糊
面暗,不寐
面暗,早泄
面暗,视力受损
面暗,健忘
面暗,遗精
面暗,抽搐
面暗,昏迷
阳痿,智力低下
阳痿,腰酸
阳痿,尿失禁
阳痿,白带量多
阳痿,口流清涎
阳痿,视物模糊
阳痿,意识障碍
阳痿,不寐
阳痿,视力受损
阳痿,健忘
阳痿,遗精
阳痿,抽搐
阳痿,昏迷
阳痿,头晕
智力低下,腰酸
智力低下,尿失禁
智力低下,白带量多
智力低下,口流清涎
智力低下,视物模糊
智力低下,意识障碍
智力低下,不寐
智力低下,早泄
智力低下,视力受损
智力低下,健忘
智力低下,遗精
智力低下,抽搐
智力低下,昏迷
智力低下,头晕
